CellId,Area,AspectRatio,CenterX,CenterY,Width,Height,Mean-CD298,Max-CD298,Mean-PanCK,Max-PanCK,Mean-CD45,Max-CD45,Mean-CD3,Max-CD3,Mean-DAPI,Max-DAPI
1,749,2.75,1466,20,55,20,7035,14150,239,489,659,1122,120,424,17502,49560
2,1067,2.30,1772,25,62,27,7592,18637,254,581,434,908,153,593,22069,58039
3,771,1.63,3083,21,39,24,14157,22447,369,604,4831,7855,233,773,26316,49981
4,646,1.50,3115,20,42,28,11646,21973,330,589,3743,11710,131,688,16789,39686
5,1890,0.93,162,42,56,60,15260,42001,279,622,575,1670,122,640,16781,37766
6,883,2.54,443,26,66,26,3701,5876,180,395,334,735,81,322,7118,12967
7,3137,0.80,528,47,64,80,9244,20982,286,584,929,2631,128,497,14369,30851
8,598,5.58,1282,22,67,12,4627,9398,127,292,569,999,20,150,5503,8098
9,1613,1.55,1407,27,59,38,9721,16274,252,487,3428,8958,276,819,15512,39662
10,1712,2.11,1553,23,76,36,10546,30512,253,633,1664,4836,34,346,15512,37612
11,1921,1.36,1864,41,72,53,1904,4595,148,446,429,848,84,466,8165,15523
12,1200,2.06,2482,25,64,31,11095,30322,294,630,845,1941,158,598,8453,14217
13,901,1.86,2896,25,54,29,8510,15196,281,584,2353,6263,226,684,15280,28452
14,671,1.39,2970,26,39,28,9857,15217,305,542,1014,2817,135,694,10899,18498
15,1254,1.20,3047,25,42,35,14415,52197,381,879,3620,8372,250,698,22324,37290
16,3010,1.35,3225,37,81,60,8496,22200,310,828,870,3831,265,1173,14950,27365
17,1243,1.44,3703,24,52,36,12938,42890,442,9049,3141,13334,66,775,14312,30193
18,2093,2.00,3829,29,84,42,8117,21163,317,634,1473,9395,148,639,20045,40631
19,1630,1.43,4023,32,60,42,14484,58595,326,884,2172,8412,60,381,18320,30903
20,1108,1.22,4198,29,45,37,11484,23657,398,717,2787,8123,445,1176,24197,42994
21,1278,0.91,4226,29,39,43,13029,33464,412,697,2746,6960,234,1045,26675,45955
22,1277,2.11,4282,25,59,28,7802,24797,304,690,1631,5937,101,569,14017,25196
23,1696,2.00,4363,28,72,36,12107,29583,371,982,924,3030,186,815,16208,28769
24,1851,2.13,4612,25,85,40,9388,21242,273,1715,2137,5647,111,563,19415,41028
25,1627,1.09,4681,30,48,44,13095,31931,402,776,1143,5263,196,499,17737,35051
26,1032,1.35,4716,22,46,34,13323,26556,362,641,2603,4846,103,446,17648,39397
27,877,1.19,4960,21,38,32,10189,18090,254,529,2068,12055,170,1161,12155,23084
28,1543,1.34,4988,24,47,35,7956,23603,224,691,3274,15095,101,1022,13273,29814
29,1497,1.82,5114,25,62,34,11853,31725,357,635,2704,8161,44,346,21173,42383
30,797,2.71,5389,23,65,24,4394,13505,291,539,1417,4835,339,1089,6038,15310
31,1996,0.95,2778,36,56,59,20592,46882,503,1187,1027,2338,244,953,16023,30839
32,643,0.76,2996,27,28,37,24630,64453,507,1106,2071,8630,416,1219,19211,30662
33,663,1.48,5169,27,34,23,5349,9351,366,669,446,767,134,378,9224,15984
34,521,2.27,5186,25,34,15,5300,10499,319,667,481,831,160,454,7299,14665
35,2054,0.84,362,42,53,63,11226,24001,258,487,1355,2741,101,398,15849,42047
36,2165,1.12,4842,43,55,49,10820,30395,305,667,2456,7803,66,534,17452,33952
37,831,0.87,562,37,34,39,9972,21977,340,495,1033,2517,162,418,10044,21911
38,1075,0.70,3014,34,33,47,18612,64453,399,1286,2525,9451,128,988,15947,28510
39,781,1.61,3345,32,45,28,13662,33888,231,530,2888,10836,256,1201,12999,31998
40,1187,1.27,3574,37,42,33,8723,33491,251,680,1080,3191,218,727,8680,15575
41,2709,0.93,4899,46,57,61,11845,30471,474,4027,1837,9155,299,1297,21186,40181
42,635,2.83,308,34,51,18,4843,8132,204,418,374,972,99,329,6333,19004
43,1420,1.08,2906,40,52,48,8384,17513,284,643,1731,5774,152,520,14654,30271
44,610,1.35,2978,36,35,26,13587,23559,403,772,724,1552,291,841,16093,29946
45,2710,1.05,3520,42,61,58,13857,49123,422,979,1761,10557,294,881,16437,43305
46,2590,1.73,800,56,90,52,4863,9021,184,2852,598,3235,146,409,6759,10830
47,4799,1.13,3774,54,89,79,10731,35066,288,709,2949,10233,76,1080,18057,45433
48,2420,0.81,1486,46,55,68,13168,36412,300,829,959,2292,111,689,7803,12826
49,3369,0.96,2747,50,67,70,17197,58683,401,949,1002,2665,267,994,17817,52632
50,1915,0.74,3308,45,46,62,15731,37194,328,738,1490,7314,134,641,14317,25919
51,476,0.62,3355,44,21,34,11382,22282,298,485,5038,11478,589,1112,25738,44954
52,870,0.79,4983,44,30,38,10215,19632,319,539,2862,6104,93,392,12528,23953
53,980,0.62,317,58,28,45,5572,9997,274,493,457,669,176,609,10569,19361
54,655,1.18,3190,43,33,28,11259,37701,339,797,2579,11641,385,1218,13588,26927
55,2075,0.93,4123,54,56,60,5734,14629,312,641,727,1470,209,977,18365,40959
56,543,1.26,4997,45,34,27,8387,21635,245,662,2324,11508,69,1453,13684,23517
57,701,0.62,146,58,28,45,6744,12624,221,376,431,738,81,341,14415,27335
58,694,0.70,3341,49,26,37,13899,20967,181,581,3672,7274,368,1178,22980,43393
59,1205,0.82,4185,54,36,44,8966,19459,335,661,1911,4781,82,512,13914,21968
60,719,1.14,3066,51,33,29,8541,10523,297,436,4152,5992,257,528,13714,19066
61,1469,0.82,3372,64,47,57,5334,19199,160,427,2080,5893,161,658,13268,24752
62,591,1.36,4562,48,30,22,8454,17837,455,639,904,4676,145,326,11897,21995
63,1930,0.84,5385,59,43,51,5170,12452,298,571,1607,4541,309,791,19227,36161
64,2040,1.15,3994,60,55,48,6076,18375,250,570,1697,4799,64,477,19812,33434
65,3010,0.99,4655,73,67,68,9628,24639,341,746,1592,8362,148,484,11634,18378
66,381,0.72,554,53,21,29,10753,19429,372,553,817,1808,181,372,13691,23841
67,2889,0.98,3412,64,60,61,21248,57394,514,1231,3498,7393,293,952,25390,61807
68,3201,0.81,3283,69,65,80,12235,31371,338,976,1165,5372,151,1556,11469,21886
69,1210,0.98,5114,62,43,44,7478,19649,354,765,1386,4980,41,266,8744,15010
70,849,1.00,41,59,34,34,8862,17595,204,348,1104,3900,117,561,9364,14734
71,2146,1.00,3662,71,59,59,7165,23175,317,5432,880,12540,180,989,14618,27291
72,754,1.20,4936,60,36,30,8808,16017,334,556,1680,4253,109,409,10114,17739
73,1028,0.79,5322,66,37,47,2110,7529,244,550,446,2519,39,262,6159,7939
74,3350,0.76,3096,71,56,74,13625,38207,390,899,4972,21568,441,1108,24243,54284
75,1035,0.81,82,64,34,42,9415,33739,214,487,823,2231,324,1268,17688,34841
76,944,1.16,2062,65,36,31,8363,19483,292,543,640,1075,106,435,13478,21775
77,2413,1.27,4221,70,70,55,8245,21415,325,855,1711,5540,82,445,10362,21547
78,1484,0.87,4376,69,39,45,7386,17569,292,570,659,1461,134,621,21694,42546
79,1855,1.37,4468,64,59,43,12649,38748,466,7118,2187,14040,190,612,14292,30540
80,1131,1.78,4564,66,57,32,6299,13717,359,660,605,1425,115,386,14491,32582
81,1318,1.24,3188,72,52,42,20612,36236,528,843,4291,14010,500,2325,28591,57969
82,1139,1.24,5077,64,41,33,12881,42622,377,861,3435,15863,84,579,9870,20080
83,1917,0.96,2975,74,46,48,14583,37629,444,1022,1144,2760,227,785,16936,45797
84,1123,0.63,3961,71,24,38,10957,27671,322,998,1550,3605,73,455,9489,20198
85,1117,0.93,3062,73,39,42,8651,16428,287,484,2355,4376,203,540,10593,26410
86,1075,0.75,4876,80,36,48,15324,40546,462,805,4113,8837,124,400,30317,41998
87,951,0.82,59,80,31,38,9939,23042,178,390,889,2316,395,1200,14475,28062
88,1607,1.12,4845,79,46,41,14138,29661,418,706,3444,7530,108,326,27767,40175
89,1752,0.53,233,91,38,72,5476,10207,210,381,322,645,92,387,13177,30009
90,583,1.16,1453,72,29,25,9045,17424,215,500,585,1091,162,463,8763,12409
91,2393,0.92,1530,77,56,61,25951,52749,479,952,1179,3773,175,778,20905,57822
92,1698,0.53,5134,89,40,76,6702,15320,384,664,477,863,120,875,10837,21198
93,719,2.14,3716,76,47,22,5239,11303,154,338,434,903,574,2167,7900,11106
94,1912,0.85,4801,85,46,54,13410,37432,336,716,2303,6014,123,622,19060,36265
95,663,0.66,4919,79,25,38,8960,18190,349,531,2428,4631,69,240,14511,22436
96,1473,1.31,3239,79,51,39,17943,62112,506,1184,1837,4821,415,1244,23697,38468
97,3002,0.85,3536,95,64,75,13330,30315,195,1288,2295,5383,75,843,21417,45361
98,1219,1.03,4301,82,40,39,12962,29294,419,748,1548,5433,322,747,15019,31383
99,660,1.39,5088,80,39,28,9616,25829,334,636,1763,4469,103,382,10900,19316
100,1276,1.30,170,80,48,37,10964,23737,290,463,596,1139,143,491,9099,16197
101,2116,0.82,3583,91,46,56,10182,24226,262,674,2553,7453,285,945,17751,36176
102,1574,0.66,5020,94,39,59,11132,32571,329,618,2693,8174,87,612,14608,28585
103,1515,1.04,3455,86,53,51,24226,64376,571,1141,2288,10467,251,712,22695,45079
104,2205,1.25,4953,91,69,55,12037,26526,469,834,1715,6031,232,614,24468,48786
105,2018,0.88,1146,99,50,57,7362,18052,292,748,409,927,110,561,7306,13184
106,3167,1.01,3159,92,69,68,24981,59704,602,1116,2451,12088,315,1806,25018,54151
107,590,1.57,4437,89,33,21,10817,37095,385,755,1265,3872,78,291,8218,17528
108,921,1.00,4498,89,36,36,4038,9534,360,784,713,1355,124,440,8071,11455
109,1666,0.79,3846,99,41,52,10621,25769,317,783,1655,4702,375,1644,23878,40776
110,1009,1.08,4892,95,42,39,12910,22645,398,662,3874,7377,82,561,25195,40835
111,2427,1.16,1363,96,58,50,7603,22924,258,591,991,3916,359,1899,20988,47571
112,2050,1.09,3799,106,60,55,10061,35673,339,696,3393,8695,358,1497,23947,48539
113,3026,1.01,4019,112,68,67,8993,28282,328,747,3098,14418,99,438,25421,52200
114,1120,0.70,4528,96,32,46,6253,27228,259,546,965,2284,201,582,11181,27068
115,1091,1.05,3064,92,40,38,13097,37659,386,877,2272,3666,286,580,12034,27737
116,1954,1.08,4082,99,57,53,9088,21075,405,784,1260,6517,251,762,21298,40946
117,609,1.10,4476,97,32,29,5266,15335,442,1036,878,2646,118,470,9460,16034
118,1235,1.04,2738,97,48,46,13895,27660,376,769,942,5377,474,1157,18377,43281
119,522,1.12,1175,97,29,26,7749,11257,374,617,485,845,198,530,14428,21866
120,1110,0.92,1447,109,49,53,6955,14311,146,451,472,912,64,567,5194,7741
121,1353,0.90,5051,101,43,48,12696,37825,426,859,3420,8296,428,996,21917,41455
122,2027,0.94,5087,113,51,54,12908,31937,508,4680,4266,11026,388,1389,21044,41722
123,2729,0.79,2721,119,60,76,9471,34902,262,770,963,4866,453,1433,31365,65504
