CellId,Area,AspectRatio,CenterX,CenterY,Width,Height,Mean-CD298,Max-CD298,Mean-PanCK,Max-PanCK,Mean-CD45,Max-CD45,Mean-CD3,Max-CD3,Mean-DAPI,Max-DAPI
1,1145,2.42,1058,19,58,24,8000,16882,221,479,1241,2753,616,1340,24715,40456
2,905,1.66,1093,17,53,32,7328,17608,172,450,913,2425,434,1202,17781,35425
3,1506,1.65,271,23,61,37,6055,14731,151,306,601,1654,242,773,9610,13385
4,1016,1.23,463,21,48,39,2329,3261,210,371,238,469,172,448,7554,14104
5,1124,1.02,614,20,47,46,5691,12582,187,464,594,1706,246,565,7493,14377
6,817,2.61,834,16,60,23,3323,10738,192,1407,494,5255,217,595,6922,10506
7,2372,1.09,2232,22,60,55,5258,10811,196,434,657,1307,138,484,8825,18710
8,1317,0.93,2271,24,41,44,7332,12536,220,498,783,1391,227,600,11763,17367
9,3940,1.27,2329,36,84,66,2963,4318,204,5282,939,9472,176,707,7332,11278
10,2817,1.68,2438,33,89,53,3163,7751,123,341,578,1424,243,854,6614,9810
11,1521,2.06,3284,19,66,32,2668,5495,237,1218,410,4413,281,1345,8005,13196
12,721,2.26,3322,15,52,23,2388,4397,171,556,304,676,431,1515,9144,13958
13,1469,0.88,4012,23,46,52,5426,10689,246,2458,356,7626,191,1500,10248,18924
14,502,1.38,4034,16,33,24,1986,4708,156,327,219,448,140,414,10777,18417
15,1396,1.86,4416,18,65,35,2318,6737,64,432,346,807,1090,2461,8216,14658
16,1540,1.58,4789,17,57,36,2260,9186,108,3329,562,7562,2340,5141,9777,23163
17,1217,1.97,5302,16,59,30,2744,10499,44,384,2576,5095,425,1214,9927,17926
18,807,1.00,297,32,37,37,5936,14522,143,341,1452,2977,169,716,7000,11626
19,975,1.09,2201,31,37,34,4653,8403,208,430,725,2591,177,1115,6356,14400
20,3411,1.32,1108,44,82,62,8151,23902,220,460,912,3970,455,1162,19241,35656
21,2498,0.69,3322,53,47,68,3174,6919,185,542,228,896,260,1646,10627,19273
22,3556,1.09,730,38,70,64,8322,24338,195,452,455,2614,162,732,9405,26986
23,2104,1.02,3393,39,50,49,9545,28426,285,8625,937,15103,216,1492,11205,20858
24,2144,0.97,5148,40,60,62,3629,20284,156,750,557,1224,2690,5377,10626,26258
25,2459,0.76,646,66,54,71,2679,7436,157,326,330,691,193,496,9242,17679
26,492,0.92,652,38,23,25,1374,3201,248,5190,578,13652,147,569,6612,9848
27,2765,1.03,1053,56,67,65,10480,29436,253,474,1567,6258,680,1626,27772,43705
28,1705,0.75,430,51,39,52,6154,26803,172,398,408,944,364,810,13140,39919
29,2883,0.76,2278,66,56,74,4352,11364,177,458,721,1351,221,776,10994,17253
30,3372,1.88,3877,54,96,51,5670,31140,287,648,605,1984,1666,6485,15968,38477
31,1135,1.03,766,51,38,37,8540,22324,212,445,346,1312,215,577,12872,23058
32,2819,1.08,272,65,66,61,6473,16536,162,4368,2407,13748,236,969,8557,14391
33,2091,0.88,3074,65,44,50,6144,23077,118,447,1207,6727,139,614,14053,30751
34,2139,0.98,1459,67,52,53,3271,9384,216,2753,611,9258,2433,3745,9944,16202
35,1453,0.53,1717,72,30,57,5577,50709,176,677,455,1141,294,786,15207,32950
36,3378,0.83,2187,77,63,76,8499,26005,258,626,1525,4724,379,1386,17942,39835
