CellId,Area,AspectRatio,CenterX,CenterY,Width,Height,Mean-CD298,Max-CD298,Mean-PanCK,Max-PanCK,Mean-CD45,Max-CD45,Mean-CD3,Max-CD3,Mean-DAPI,Max-DAPI
1,5532,1.20,289,34,97,81,18498,57815,4983,24696,2323,3759,832,1731,18512,29440
2,1750,1.76,340,18,67,38,14490,24477,3655,7133,2389,3058,889,1618,18327,26733
3,4558,1.60,478,30,99,62,11294,26798,4113,12949,2487,4958,807,1732,14440,22684
4,2236,0.68,861,25,45,66,17147,50344,7416,35761,2611,3297,875,1775,20101,38142
5,2667,0.66,894,30,48,73,12315,31585,2725,6846,2564,3242,882,1688,25233,37128
6,1432,1.34,937,21,47,35,9395,16509,2283,5006,2420,3484,844,1833,20431,30844
7,2255,1.33,989,19,60,45,10520,22753,6612,16838,1556,3445,557,1734,16077,28119
8,1424,1.18,1079,17,45,38,21021,48978,4782,9403,5698,12526,1281,2125,18326,29823
9,1764,1.29,1152,16,58,45,10468,28117,3079,11227,2873,3852,975,2118,16784,32064
10,1338,1.38,1233,14,54,39,14964,27968,5746,14409,2576,3333,1004,1878,15063,27011
11,1226,1.31,1317,12,47,36,12983,26055,6473,15077,2832,3568,987,1900,11682,25251
12,1691,0.96,1358,18,43,45,9000,16661,5443,16174,2910,4209,934,1857,13832,27621
13,2856,1.49,1412,21,73,49,9111,23619,3619,9859,2776,3676,950,1903,15480,25631
14,2514,1.68,1482,27,79,47,10405,22446,6333,19327,2887,3724,971,1889,13913,23955
15,1792,1.42,1643,15,61,43,31254,65535,2875,33555,3096,6083,1661,2940,13874,29149
16,3384,1.29,2599,31,76,59,9756,23075,1431,4284,2780,3372,930,1764,13669,23989
17,623,1.23,2634,15,37,30,11655,22055,1355,3285,2822,3507,1113,1867,10299,14514
18,6397,1.36,2717,35,110,81,12247,44122,2994,15366,2715,3603,980,2078,19588,31544
19,4969,1.05,3472,34,84,80,9297,33434,5214,28458,2493,3378,880,1940,14772,28314
20,669,1.95,3572,12,41,21,9880,16951,4191,8079,2580,3617,1048,2111,18228,26046
21,2590,0.98,3608,32,62,63,9838,19012,4428,16452,2439,3320,862,1894,23108,31332
22,670,1.24,3634,14,36,29,11491,21544,3659,7580,2512,3391,1029,2006,20302,25892
23,1254,1.34,3670,18,47,35,14158,24026,6658,14063,2464,3096,993,1797,14468,23329
24,596,1.15,3764,12,30,26,7010,17696,6017,19021,2334,2721,836,1114,8810,15391
25,3381,1.17,3842,26,69,59,9168,22590,5371,24267,2286,3240,845,1934,17881,30696
26,773,1.00,3874,18,35,35,6305,14691,5013,22293,2379,3186,948,1785,20164,26998
27,4979,1.16,4051,31,85,73,17703,47925,7744,43151,2205,2932,853,1989,16400,28582
28,1910,2.03,4257,13,65,32,13767,31878,9011,29508,2194,2784,855,1607,12022,23716
29,907,1.39,4394,14,43,31,8006,17196,7041,18162,2145,2822,860,1671,14203,20349
30,2384,1.11,4440,21,61,55,7450,17264,5932,21812,2071,2759,784,1634,21214,30245
31,864,1.56,4483,15,39,25,9791,19179,6586,16961,2050,2800,853,1676,13678,17690
32,1568,0.90,4716,29,47,52,18249,37154,692,1864,1824,5916,584,1681,13589,25200
33,894,1.23,5125,14,37,30,26750,57943,769,1305,2277,4420,949,2915,14910,25783
34,1424,1.16,5392,24,58,50,7089,14232,12454,31166,1325,1893,522,1276,11349,17272
35,1071,0.85,5433,14,34,40,6466,13794,12181,42762,1175,1916,474,1275,11401,21913
36,1592,1.27,67,24,57,45,15906,34852,1484,4787,4034,9229,1059,2182,13272,21207
