CellId,Area,AspectRatio,CenterX,CenterY,Width,Height,Mean-CD298,Max-CD298,Mean-PanCK,Max-PanCK,Mean-CD45,Max-CD45,Mean-CD3,Max-CD3,Mean-DAPI,Max-DAPI
1,2139,1.94,181,16,70,36,12012,37730,199,649,472,1730,325,1414,12122,20005
2,1014,1.06,693,15,34,32,4306,8837,231,630,812,3193,281,1066,7959,12279
3,986,1.27,719,17,38,30,3367,5610,169,543,527,1227,271,1001,8990,15811
4,1754,1.62,1307,18,60,37,6181,21363,198,604,506,1264,286,1174,8375,12691
5,2900,1.18,2017,28,67,57,3344,7043,253,983,477,2246,199,1136,8563,14530
6,1041,1.81,2314,14,56,31,7242,17172,379,832,968,2487,354,1176,11729,24688
7,1034,1.55,3817,14,45,29,6225,20909,87,1500,753,2996,315,1400,21068,40433
8,850,1.11,4176,22,41,37,2749,6337,330,7623,763,16617,101,903,8953,17157
9,937,1.13,4667,16,36,32,1656,3615,273,864,478,1509,320,1109,9702,17456
10,849,1.96,4692,12,47,24,1446,4668,272,837,493,1337,286,1180,9458,20401
11,1287,0.90,1376,22,38,42,6892,22700,153,454,737,1579,176,976,6622,8767
12,781,1.50,3698,24,54,36,324,6274,81,769,258,7437,180,954,7088,12238
13,1672,1.10,1609,27,55,50,9922,23608,283,628,4073,8258,406,1021,20281,47370
14,1941,1.18,4425,29,58,49,4585,11082,304,869,407,1116,178,877,19909,48155
15,1510,1.16,3800,30,50,43,606,20507,24,802,137,1637,70,1165,10843,26053
16,1629,0.79,2814,35,41,52,10368,39742,404,5511,1391,9253,381,1117,16647,33162
17,2034,0.92,4009,37,47,51,3143,11062,13,305,757,2458,45,304,15685,27488
18,2260,0.95,1016,45,63,66,7768,28949,243,549,3118,10376,288,1041,13344,29809
19,1124,1.18,1117,36,47,40,11523,23668,356,759,1240,4212,176,594,12755,26477
20,3373,0.82,1666,54,61,74,6705,27294,376,756,599,4710,231,685,17894,37618
21,2336,1.18,4910,44,59,50,7028,21200,568,3147,515,2143,238,1291,23939,47696
22,1246,1.03,715,42,39,38,5365,21348,177,440,645,1540,203,573,13519,22634
23,1445,0.78,1135,38,40,51,12941,23901,311,545,1476,4409,176,408,9849,24374
24,1446,0.88,1286,45,43,49,8706,24297,301,626,605,1342,296,700,11476,16375
25,868,1.15,4982,38,38,33,3024,7414,311,5731,416,11640,94,1078,8774,21130
26,259,1.11,1233,39,20,18,2752,3537,167,284,363,528,103,249,5542,6152
27,2903,1.16,1588,50,66,57,8548,16480,282,566,1656,7667,263,926,24194,49785
28,637,1.07,2154,49,30,28,2723,3864,237,453,287,556,192,473,6951,8938
29,282,1.31,1228,55,21,16,3693,5633,149,303,369,649,138,339,6006,6705
30,2039,0.78,4813,63,49,63,14626,39069,415,936,1454,5071,181,527,11747,26251
31,731,1.38,3775,58,40,29,1506,8529,0,90,589,3636,29,410,12898,29531
32,967,1.17,2149,75,41,35,2816,4316,275,531,346,682,209,469,11302,15851
33,2392,0.82,2826,77,58,71,12796,34884,395,877,2001,7388,412,1032,20961,49712
34,1024,0.93,3764,72,43,46,1757,9668,0,0,358,3078,21,346,9890,29754
35,3764,1.09,1313,90,83,76,12140,22633,335,621,671,1306,340,928,13077,22489
36,2365,0.90,1699,87,55,61,14769,49883,303,583,1950,6287,192,554,21152,40979
37,1318,1.00,1628,86,41,41,6276,13163,330,694,622,1493,196,449,9736,16271
38,1020,0.90,2163,93,38,42,2247,3962,251,523,413,751,165,475,8209,12017
39,1546,1.57,3808,82,58,37,3359,9419,0,0,424,4259,27,354,11242,22267
40,1119,0.79,2792,91,37,47,5732,15950,219,614,1008,6167,178,915,9563,18457
41,1976,1.02,4416,95,51,50,4546,14331,251,662,441,1550,196,627,19554,39110
42,2411,0.88,4864,91,61,69,17147,34302,448,843,1353,4236,194,568,13350,30049
43,2333,1.20,4461,91,60,50,10932,22951,398,844,1251,5826,183,566,15583,33346
44,1515,1.42,93,92,51,36,3865,11187,89,307,424,1646,37,275,10362,16551
45,1572,1.29,4777,100,63,49,3014,15245,189,599,390,3045,151,867,9700,19046
46,1936,0.63,4934,114,39,62,3878,6677,285,580,587,1934,244,653,15375,30741
47,1428,0.90,2126,110,43,48,2825,4671,278,919,447,2759,224,715,9787,13634
48,1378,1.32,3898,102,50,38,594,9287,12,490,76,922,25,288,7142,12547
49,1953,0.92,1345,118,54,59,7121,23312,274,543,747,5288,188,493,7937,14746
50,841,1.49,2803,105,52,35,9083,18521,397,804,1056,2183,180,486,10325,19349
51,1124,0.90,1617,113,37,41,4630,7631,245,466,483,1769,166,395,9388,13504
52,1402,0.89,3981,118,42,47,1097,4461,1,202,458,1743,23,249,8656,13956
53,1583,0.98,4639,119,44,45,3583,7582,252,1063,450,1444,183,640,20773,37961
54,905,0.83,4753,118,38,46,3939,7873,285,550,371,1258,222,641,8379,13854
55,1013,1.13,76,113,45,40,4024,7572,107,273,451,889,42,201,6410,12383
56,1345,0.63,4898,115,31,49,10464,27098,308,656,1045,3883,189,629,8441,19051
57,1228,1.05,1690,119,40,38,6119,15536,286,708,1535,3370,132,397,17414,32990
58,1833,0.76,3576,130,41,54,2665,7667,35,1253,190,1117,176,377,11330,22854
59,1455,1.29,4697,121,49,38,7354,21592,262,604,1642,6079,80,280,17577,32370
60,943,1.37,4596,117,41,30,2803,8024,203,495,333,683,166,417,8949,16104
61,2555,0.98,4040,130,59,60,8403,18388,86,515,1664,5482,102,461,7995,20935
62,1950,1.32,4458,130,54,41,3255,13406,245,605,1299,3668,175,730,16455,31376
63,443,0.96,804,129,24,25,1339,1905,94,232,711,2499,41,176,6545,8647
64,1157,0.55,5010,130,33,60,5517,11073,279,602,274,603,114,392,6387,15673
65,2440,1.27,1957,135,62,49,4092,12171,157,400,645,2751,156,454,9256,17771
66,473,0.71,4578,131,22,31,1821,2966,202,558,275,576,184,518,12065,19166
67,1173,0.63,14,137,29,46,7009,30329,146,373,526,999,172,357,10354,20399
68,1392,1.22,1321,132,50,41,7720,10462,283,481,501,862,164,377,8208,11783
69,1196,0.71,2779,146,32,45,4763,10603,158,446,595,1390,168,438,17832,39456
70,1474,0.85,3884,143,46,54,5893,13834,54,461,79,436,101,485,11639,33553
71,2108,0.79,3603,161,45,57,2505,18621,8,2979,281,5220,195,540,18584,43501
72,945,1.82,4599,148,51,28,1994,3649,251,640,314,769,174,526,11230,19466
73,633,1.00,4632,150,29,29,2135,5926,208,471,392,797,187,474,10387,15561
74,1599,0.50,2980,160,36,72,5840,14188,358,768,351,631,213,650,13084,27483
75,1155,0.68,3565,170,32,47,3588,5957,137,3934,374,6261,189,467,11560,18441
76,3044,1.15,4787,167,70,61,9423,23420,395,736,1324,5506,165,554,7312,12789
77,739,1.07,221,166,31,29,1595,3190,98,244,284,494,159,340,7243,13382
78,674,0.97,601,167,28,29,4754,10321,153,269,317,479,78,264,9585,17169
79,904,0.97,3661,169,34,35,1299,15316,0,17,444,3854,7,210,6635,9572
80,2374,0.69,1316,194,47,68,4001,7557,159,331,410,825,83,261,7508,14455
81,1490,0.77,2961,183,48,62,3578,11916,192,643,273,1275,109,620,9203,18028
82,1970,0.91,5297,181,48,53,4451,6536,291,482,985,2110,2636,6074,10549,23201
83,4911,0.94,1372,200,76,81,5053,9990,219,494,432,840,156,441,13431,25121
84,1801,1.17,2795,191,56,48,11447,31951,315,772,2111,5559,157,950,20233,54296
85,2374,1.00,1521,193,54,54,5051,30713,189,424,2155,4219,117,509,7483,10333
86,1034,1.11,200,190,39,35,1843,3433,138,253,304,486,180,489,11174,22293
87,2240,0.95,4369,197,52,55,3803,23855,199,549,956,3785,174,641,18198,32652
88,3330,1.33,1585,206,80,60,3257,5301,198,676,354,1556,120,452,9970,13656
89,1342,0.63,4983,192,36,57,4917,11537,301,706,261,498,89,346,8846,23363
90,1690,0.68,2349,208,34,50,5378,13066,183,419,1234,2671,72,288,6149,8846
91,870,1.00,3555,201,34,34,1908,4551,23,331,158,538,150,398,10698,20337
92,1313,1.02,4027,205,42,41,1290,5305,11,306,772,3541,20,324,18096,35373
93,485,1.04,3545,217,27,26,1716,3895,18,250,178,443,137,380,11182,22605
94,584,2.05,1326,224,39,19,3194,6874,114,321,368,573,73,205,9401,14605
95,651,1.36,1526,229,34,25,3432,5030,148,368,1245,2558,80,216,6642,9110
