CellId,Area,AspectRatio,CenterX,CenterY,Width,Height,Mean-CD298,Max-CD298,Mean-PanCK,Max-PanCK,Mean-CD45,Max-CD45,Mean-CD3,Max-CD3,Mean-DAPI,Max-DAPI
1,1190,1.41,808,17,45,32,7058,21947,4252,14290,714,1514,452,1037,10580,17251
2,3823,1.46,929,28,86,59,4964,10783,4686,47244,549,1215,381,1172,13428,20870
3,2173,1.26,986,15,59,47,7549,10877,7217,21148,628,1277,413,1027,8024,11911
4,1136,0.88,1307,18,44,50,11236,21531,426,900,2268,7363,876,1614,18254,28319
5,1716,1.41,1414,17,58,41,10439,27438,376,982,3825,20075,830,2491,13947,29189
6,1730,1.31,1467,21,59,45,10461,20923,411,1345,1675,8831,636,2312,7640,13969
7,3440,0.86,1529,41,63,73,9115,26481,367,1550,1629,9460,342,1520,7121,16164
8,4020,1.04,1799,27,80,77,8006,20398,527,1665,2990,12176,709,2213,10655,17570
9,7307,0.94,2054,47,103,109,11213,26365,383,987,1323,3812,501,1384,8529,14624
10,6282,1.43,2153,29,106,74,14986,31472,339,696,1306,3700,410,1197,8594,13997
11,2044,1.51,2241,15,62,41,12507,32620,299,671,1344,4060,477,2179,9251,28598
12,823,0.91,2509,14,30,33,4500,8609,215,514,682,1235,412,1058,6006,9363
13,2116,1.24,2537,19,56,45,13331,22883,316,640,1851,5026,404,1098,9538,17215
14,1718,1.10,2704,20,45,41,11884,21355,384,757,748,2513,694,1823,15359,31398
15,3734,1.69,2756,22,91,54,13770,31191,356,822,1289,5917,993,4374,21982,41063
16,2283,0.96,2828,22,49,51,6704,13621,226,653,1061,2576,331,1407,4778,9085
17,3399,1.91,3002,23,86,45,10504,27350,287,830,1531,9015,496,1687,13498,25827
18,5294,1.23,3148,38,92,75,5236,9168,218,564,1417,3395,297,1472,9561,15445
19,2394,0.94,3394,23,59,63,7643,12745,262,597,1359,3264,471,1269,12495,21049
20,2035,0.80,3423,26,47,59,7465,13053,247,581,1405,2191,427,1202,12179,17243
21,2529,1.45,3523,20,71,49,5166,8853,240,597,995,2084,345,1086,7859,12101
22,2081,1.26,3624,21,58,46,4665,6735,229,552,531,1121,384,1174,7041,10074
23,1197,1.24,3680,15,47,38,5894,10876,331,599,659,1573,453,1160,4703,6944
24,2312,1.29,3858,26,62,48,9378,22615,320,756,442,1532,471,1511,7738,10973
25,2548,1.06,3899,24,57,54,10827,26432,339,925,580,2320,502,1957,11474,24595
26,2121,0.87,4189,22,53,61,6297,13073,365,732,518,1592,359,1132,8246,13919
27,3391,1.69,4239,23,91,54,7129,22658,393,831,597,1217,385,1547,13733,32342
28,2669,0.84,4474,30,52,62,5617,10434,1287,3342,402,1249,275,1745,8301,18058
29,691,1.40,4674,14,35,25,8737,11943,353,651,1618,2739,635,1288,5992,8853
30,1091,2.28,4927,12,57,25,4682,9639,282,612,479,1075,453,1072,5492,8947
31,1312,0.82,5378,24,36,44,3751,5976,149,429,231,814,92,706,6173,9518
32,1513,0.79,1280,27,42,53,14636,53909,412,724,2469,5479,821,1846,13016,20856
33,2857,1.20,2883,29,65,54,11056,26288,267,601,1341,4548,238,1007,7596,20988
34,2599,0.98,51,27,56,57,9072,16913,363,856,1321,7884,536,1774,7578,13674
35,5065,0.77,852,44,77,100,5133,10894,4768,30713,501,1407,336,2490,11769,17293
36,2504,1.27,1660,27,65,51,10942,20735,290,816,696,2228,440,1477,9414,21021
37,3012,1.17,1858,28,68,58,9816,17206,361,721,1717,4498,647,1781,14408,26500
