CellId,Area,AspectRatio,CenterX,CenterY,Width,Height,Mean-CD298,Max-CD298,Mean-PanCK,Max-PanCK,Mean-CD45,Max-CD45,Mean-CD3,Max-CD3,Mean-DAPI,Max-DAPI
1,875,2.27,44,13,50,22,7141,9144,865,1223,784,1472,272,1012,11814,18103
2,2237,1.87,533,16,73,39,11779,23880,1495,2852,978,3063,817,3008,19994,36319
3,1562,2.00,817,16,62,31,13264,28436,1282,2128,2052,5208,721,2260,19346,34615
4,903,1.00,1278,15,38,38,18617,23865,10955,19509,2374,3646,1613,4399,23791,31806
5,2236,1.22,1386,19,60,49,15219,39902,1074,5750,2232,5155,1831,3856,24177,50914
6,2038,0.78,1487,23,45,58,21383,47339,1219,3786,1355,3153,227,1716,19370,38186
7,1099,1.15,1521,16,38,33,15728,49878,1315,2741,1132,3102,310,1806,21268,40256
8,783,1.48,1560,16,40,27,9418,20802,24596,65535,1187,2218,289,1340,9781,16277
9,2821,0.99,1694,35,70,71,9128,23567,1298,29146,2092,6513,373,2635,14897,27464
10,1891,1.62,1833,19,63,39,21612,35455,19506,58718,2182,3947,904,1810,25426,37386
11,1846,1.94,1922,16,70,36,16640,29389,5825,38262,1479,3305,371,1634,14867,25753
12,2336,1.11,2125,21,59,53,25452,62943,17041,65535,1379,3163,944,2379,15848,39570
13,1608,1.02,2750,19,49,48,27559,53132,8339,25938,1738,3965,1115,2912,18789,29661
14,1278,1.29,2806,19,44,34,21502,34574,1629,2505,2379,3561,2321,4813,27077,49905
15,3240,0.89,2847,34,58,65,16424,36609,1757,9002,1950,3723,2371,4988,31230,63471
16,2241,1.25,3005,16,60,48,20423,40701,1580,3349,2592,8185,2429,6628,18666,44927
17,1812,1.69,3069,16,66,39,17744,44898,1616,11590,2527,5979,4656,7507,20542,36345
18,1611,1.00,3172,21,54,54,16120,37991,15530,54178,1985,4593,2065,4770,16614,31228
19,1784,1.09,3203,18,50,46,20764,43608,3184,12637,2305,5168,3612,7540,34504,64698
20,763,0.91,3425,14,29,32,15751,30965,3883,11371,1871,5408,686,2558,16769,31419
21,2907,2.02,3643,25,85,42,21076,51924,1347,2506,1775,8994,356,1271,27518,55940
22,2092,1.78,3759,17,71,40,27820,65535,1632,3271,3903,10660,754,1938,36386,65504
23,3146,1.62,3848,27,84,52,39374,65535,6625,59763,2608,12064,788,2093,41662,65535
