CellId,Area,AspectRatio,CenterX,CenterY,Width,Height,Mean-CD298,Max-CD298,Mean-PanCK,Max-PanCK,Mean-CD45,Max-CD45,Mean-CD3,Max-CD3,Mean-DAPI,Max-DAPI
1,1864,2.14,3739,49,79,37,12468,19930,325,528,542,762,149,339,6882,9373
2,4731,1.57,3969,60,102,65,15617,22963,404,722,710,1773,224,531,9446,15513
3,5376,1.11,4058,65,88,79,16010,25440,426,752,1699,3066,294,619,12361,18950
4,2785,1.15,4138,54,61,53,17130,27286,411,648,1492,2637,189,429,12218,20545
5,2942,1.58,4204,53,79,50,14595,35824,375,721,1192,6283,152,431,10324,18960
6,1321,2.10,4303,49,63,30,5999,8701,294,412,620,982,123,233,4795,5619
7,1102,2.11,4338,52,59,28,4620,5332,298,392,451,628,114,241,3748,5042
8,2497,1.41,3143,65,72,51,9078,14836,271,472,428,640,92,258,5058,6576
9,462,3.64,1004,61,51,14,1345,1812,101,187,278,445,44,160,1661,2454
10,599,2.32,1042,68,51,22,1414,1976,119,201,295,461,39,179,1637,2490
11,1196,0.64,993,97,32,50,1187,1619,116,220,356,532,63,192,2646,3516
12,4304,0.71,3812,98,67,95,16454,29086,406,644,664,1849,178,503,9888,15178
13,3011,0.35,3846,99,36,103,17177,20904,417,655,591,1167,176,403,10646,16007
14,1563,1.15,4177,78,53,46,14522,22445,382,553,969,1588,110,318,7027,11354
15,10000,0.90,4843,111,111,123,14850,17255,578,797,1124,2146,308,576,7867,9832
16,141,1.16,289,85,29,25,3298,3751,149,227,259,356,113,218,2997,3257
17,872,0.74,4009,85,32,43,18402,25683,481,782,1234,1774,291,510,12941,17112
18,3436,0.62,3879,109,56,90,16243,23109,444,686,797,1443,182,394,11159,15603
19,1187,1.29,446,104,44,34,3673,4183,223,343,296,496,131,277,3907,4460
20,1954,1.49,499,113,70,47,3746,5393,269,5705,508,12936,121,669,4106,5165
21,453,0.78,1049,102,21,27,1264,1580,119,195,336,442,45,153,2256,2804
22,5267,0.71,3973,132,82,116,10254,18188,350,783,1419,3377,300,558,8373,12989
23,1020,1.55,3945,101,51,33,13819,15653,390,564,1022,1878,259,465,7517,12999
24,5540,1.43,3230,127,116,81,11890,33045,339,1900,448,1077,148,346,8698,16198
25,951,0.92,2212,121,33,36,7509,9465,258,389,612,1415,95,247,4955,6217
26,946,0.89,4022,119,33,37,9940,15058,338,481,950,1265,170,320,6835,12222
27,162,0.79,319,121,19,24,4087,4798,152,250,293,410,96,205,3115,3378
28,454,1.07,1034,124,32,30,952,1344,101,181,333,478,40,166,2378,3228
29,2361,1.16,4751,119,58,50,10924,12070,489,611,736,959,199,378,6351,7225
30,1990,1.20,3792,132,60,50,13174,25079,255,645,627,1983,124,389,8443,14605
31,3756,0.84,3919,152,79,94,11651,14876,357,506,1482,2681,325,601,12218,16347
32,927,0.75,190,143,36,48,4439,5593,182,289,265,419,90,239,3920,4632
33,881,1.55,1005,135,45,29,860,1320,99,194,359,498,42,179,2210,3125
34,1660,1.06,4783,140,56,53,12079,13601,515,644,803,1013,212,374,6674,7319
35,214,1.40,318,147,28,20,3629,4541,156,239,238,359,98,197,2975,3272
36,656,0.29,3949,161,18,62,9596,11291,348,476,1666,2061,366,581,9810,13470
37,3989,1.82,3716,155,104,57,8049,11393,232,389,679,1067,144,320,5088,7410
38,23457,0.94,5353,224,173,185,12118,17510,12173,25882,344,1237,308,542,13231,17899
39,5175,1.13,2989,181,95,84,5784,11218,387,1429,425,892,140,391,7608,14061
40,196,1.14,3058,154,16,14,5950,6784,262,418,1321,1841,129,264,4535,4963
41,1291,0.70,2021,176,37,53,3712,5222,208,516,359,584,121,355,4674,6618
42,3258,1.13,2447,173,77,68,8883,11883,286,9151,468,15789,150,1009,9771,14738
43,2215,1.25,4107,157,60,48,9426,11647,357,463,819,1151,179,351,5577,6800
44,1458,1.29,4790,160,53,41,12422,14181,546,691,843,1138,195,367,6787,7323
45,608,0.90,4139,162,27,30,7676,9509,335,444,714,954,151,328,4778,5995
46,100,1.13,36,170,18,16,3275,3599,146,214,269,368,92,180,2947,3283
47,133,1.69,70,167,22,13,3240,3439,134,197,208,291,78,187,2764,3117
48,1716,0.65,2488,186,37,57,7176,9596,252,1388,502,6346,119,748,6213,9479
49,4149,0.82,2420,204,77,94,7260,11137,311,4908,493,10242,199,638,7639,13449
50,933,2.79,706,180,67,24,2260,2701,168,273,275,442,74,202,2917,3583
51,3599,0.67,3683,196,56,84,10219,13714,283,422,714,1039,149,336,5869,7854
52,1779,0.76,4730,177,39,51,10518,11765,502,689,709,938,199,396,5746,7008
53,1927,1.32,3900,188,58,44,9192,12093,300,485,1709,2405,217,447,7703,13381
54,926,0.55,4753,175,26,47,10344,11364,517,640,741,926,193,326,6000,7223
55,984,1.11,4073,182,39,35,7686,10312,403,559,698,1292,185,381,5411,10284
56,437,0.81,4139,183,21,26,7023,7750,386,525,607,793,152,280,4575,5558
57,1318,0.90,3743,203,52,58,6525,7748,252,362,606,884,134,329,4472,5689
58,821,0.74,4771,183,31,42,10550,11755,523,657,822,991,176,350,6051,7126
59,2512,0.97,546,208,59,61,7490,15452,199,321,612,1076,89,238,5323,7003
60,3581,1.90,3180,201,95,50,7305,11454,318,629,500,1774,169,502,6742,10701
61,420,0.97,75,202,28,29,2774,3360,138,212,221,312,97,212,2792,3371
62,1623,0.54,681,227,39,72,2382,3009,186,300,331,937,112,277,3208,4304
63,1257,1.02,1538,207,42,41,4817,6484,182,376,310,542,120,279,4729,6278
64,762,0.88,33,214,37,42,2540,7964,148,6565,230,351,73,196,2757,12020
65,992,0.54,732,218,29,54,2015,2375,145,242,227,420,84,240,2657,3594
66,1538,1.24,4787,201,51,41,10693,13001,559,723,902,1088,165,303,5725,6840
67,1860,2.06,4080,208,72,35,7751,9082,486,711,652,872,179,409,5212,6541
68,1562,0.94,1507,221,46,49,4990,9776,176,541,292,540,116,293,5649,7467
69,5835,0.47,5444,245,58,123,9936,14658,10950,18446,435,1254,472,1185,11506,14180
70,788,0.91,2020,218,31,34,4339,6155,679,8472,687,13649,203,873,4992,6511
71,254,1.53,64,219,23,15,2357,2677,134,208,236,329,79,191,2587,3152
72,347,1.63,2981,220,26,16,6112,6687,483,695,444,603,154,343,5875,9089
73,608,0.74,713,242,25,34,1985,2243,131,237,237,379,84,233,2815,3882
74,2628,1.33,1572,260,69,52,6253,13704,202,451,595,1411,254,606,10070,18328
75,1145,0.83,1779,272,49,59,8513,27989,218,462,385,1074,74,346,4704,5764
76,4841,0.73,2927,287,69,94,11619,13839,458,1021,574,3288,239,517,7967,13397
77,616,0.82,3052,289,27,33,5457,6437,219,338,396,546,83,216,3663,4119
78,27341,0.88,5209,373,188,213,12602,17215,8881,26840,232,1415,332,612,13203,17540
79,3641,0.73,3816,310,57,78,9480,15368,751,2639,598,5978,192,556,6381,8851
80,15939,0.51,5015,370,99,194,12055,17254,10040,20533,255,871,343,605,13945,17324
81,14814,0.47,5110,387,102,217,12680,17823,8169,16566,150,772,288,557,15180,18953
82,3556,1.56,257,324,95,61,2900,4639,171,308,358,1011,114,324,4372,6167
83,370,0.05,5056,367,9,172,11931,15071,9098,14550,237,853,293,548,14522,17362
84,2692,0.13,5064,371,24,190,12313,17329,9725,17514,193,849,307,528,14790,18202
85,903,0.91,317,316,42,46,4642,5540,196,371,559,870,112,291,5036,6593
86,3056,0.76,3123,330,55,72,5833,8804,233,367,457,630,114,269,6834,10056
87,1771,1.46,4170,304,57,39,6703,7451,494,637,737,1027,205,385,4642,5595
88,7428,1.59,379,353,129,81,4380,5957,146,319,526,855,74,232,5495,7984
89,9246,1.04,4412,347,124,119,14726,20542,621,914,958,1437,237,466,8121,13096
90,244,0.89,457,342,31,35,4805,5643,157,270,629,776,80,194,4019,4617
91,1724,0.67,3880,337,37,55,12181,16903,936,1922,448,833,184,366,7297,9341
92,2806,0.70,3906,342,49,70,10091,15808,916,4043,677,6820,148,342,5544,8867
93,3328,1.13,2556,344,71,63,7947,12565,295,8730,512,13600,132,1342,8223,14523
94,2296,1.28,2431,341,60,47,13511,29275,300,588,1368,6650,98,281,8180,15067
95,1557,0.72,4173,348,38,53,7316,8239,444,604,712,927,198,375,4820,5697
96,2320,0.16,4954,383,20,124,11607,14961,11122,17748,316,499,365,567,14391,16409
