CellId,Area,AspectRatio,CenterX,CenterY,Width,Height,Mean-CD298,Max-CD298,Mean-PanCK,Max-PanCK,Mean-CD45,Max-CD45,Mean-CD3,Max-CD3,Mean-DAPI,Max-DAPI
1,1665,1.48,215,16,59,40,17319,37958,5366,37693,446,1174,370,16128,8447,14771
2,3762,1.33,305,30,88,66,7271,17175,1145,11669,512,24727,190,2832,18763,32554
3,2946,1.63,372,21,83,51,6583,17771,1257,5979,300,778,213,975,13525,23263
4,1555,1.43,478,22,57,40,11547,30342,11447,65237,375,752,262,1233,7832,14023
5,2635,0.95,550,33,58,61,10143,36762,2277,15933,473,861,257,1016,10300,17562
6,4213,1.16,598,37,74,64,7490,25793,3465,12603,320,770,283,1037,13717,21426
7,1676,1.47,648,17,56,38,5884,13477,2329,8383,338,735,235,1026,7900,14968
8,1226,1.47,783,18,47,32,12175,18574,5796,13326,383,846,288,1007,8713,13069
9,4147,1.72,839,25,93,54,10418,30307,5882,26089,243,913,279,999,11098,19800
10,5876,1.04,941,49,99,95,10446,26065,3404,21109,350,1015,312,1234,12616,21003
11,3273,1.51,1038,26,86,57,11230,33664,4560,34309,290,805,268,1163,10345,20878
12,1920,1.00,1124,20,48,48,12366,28571,9632,33772,294,784,305,1146,9047,14838
13,2419,0.96,1164,23,54,56,6915,19727,4804,20378,219,611,267,1102,10262,16512
14,1168,0.61,1201,19,30,49,4428,10774,3439,11809,251,613,250,1038,9647,18066
15,1082,1.83,1228,18,55,30,4811,17224,2606,9331,191,621,315,1116,13857,18214
16,1949,1.14,1491,18,56,49,11870,26572,3803,15077,524,1128,346,1185,8300,18103
17,1875,1.29,1540,20,53,41,9961,24198,3762,13918,359,912,267,1191,12606,29311
18,4787,0.70,1595,42,67,96,6309,31076,1259,8759,403,3256,279,1189,11838,20256
19,1081,1.52,1635,15,44,29,9098,20301,1895,6785,407,841,298,1215,10528,18134
20,1605,1.89,1685,18,70,37,9474,17667,3016,8359,444,1029,337,1244,9861,15513
21,3298,1.31,1912,21,76,58,15876,46499,5675,19410,334,784,322,1234,10795,30153
22,2828,1.11,2093,24,62,56,21007,52588,4258,24240,524,1177,425,1555,11630,23679
23,1393,0.89,2124,25,40,45,21854,57933,5878,15807,456,835,460,1371,9757,19787
24,3389,1.62,2242,22,89,55,11677,34817,6979,28399,574,1221,355,1338,8370,15385
25,2887,1.53,2427,26,87,57,12898,33501,3386,15901,389,1322,417,1420,11115,22302
26,2217,1.57,2597,18,74,47,10196,33489,6892,19328,425,796,358,1392,8620,16867
27,3004,1.64,2690,17,74,45,14064,33352,5744,26892,512,1124,420,1335,7483,12617
28,3937,0.91,2803,35,71,78,10122,32282,12447,65260,471,1050,465,1585,9691,19369
29,4066,1.44,2860,35,88,61,12136,57849,3825,15303,504,1012,415,1351,12600,22878
30,5468,1.09,3011,38,88,81,18416,59496,5055,17781,598,2198,396,1484,11234,27339
31,5077,1.39,3114,24,92,66,16125,52425,8649,51515,584,1404,342,1299,8540,16642
32,855,1.03,3194,20,35,34,9470,34656,5253,19853,440,746,408,1243,13498,21523
33,259,0.32,3207,19,9,28,7928,22968,4216,14900,404,783,414,1204,17518,21990
34,2969,0.92,3240,29,65,71,10803,33003,3995,27920,441,869,421,1302,17156,27505
35,3025,1.60,3334,28,91,57,14226,38253,3774,18726,538,1079,376,1387,11471,21067
36,3349,1.90,3585,18,91,48,21705,59870,3751,20323,512,974,379,1384,9010,17120
37,1868,1.39,3650,14,53,38,26606,64563,5753,29673,530,929,378,1305,8008,13388
38,4309,1.46,3815,35,95,65,17996,50285,5273,27821,599,2013,344,1208,11617,23500
39,1743,1.13,4349,24,53,47,12387,30361,643,2440,4327,14229,222,1971,6433,17910
40,1056,2.00,4751,15,64,32,11817,19887,402,946,719,1331,262,1033,8198,15241
41,1096,1.42,4823,20,54,38,9591,20433,738,1450,411,1007,183,1061,5884,14035
42,743,2.45,5202,15,54,22,10252,24028,303,1026,802,2197,457,1493,7592,15354
43,755,2.71,5262,15,57,21,8058,13017,409,943,863,2680,331,1168,6777,12885
44,1778,1.21,4983,28,51,42,7622,14717,1332,3651,225,577,174,587,4687,15642
45,798,1.54,5366,22,43,28,4895,9612,2295,6638,229,438,213,516,6157,15438
46,1248,1.23,2346,27,48,39,15135,25867,16155,34647,580,976,401,1391,9175,13824
47,948,0.88,2401,34,45,51,13225,24490,5769,22715,519,815,471,805,9411,15211
48,4314,1.00,433,48,84,84,9045,32400,3428,65253,443,948,232,1026,11149,17936
49,1680,0.77,1262,41,44,57,7380,18176,3439,9756,184,640,279,1069,12415,17734
50,1939,1.40,1456,33,60,43,18045,29919,4863,16824,443,903,340,666,8286,14986
51,3871,0.80,4662,45,66,83,26335,52096,524,999,515,1466,280,1098,11843,23893
52,372,2.13,1642,30,34,16,9590,13568,1578,3230,475,712,311,700,15418,20981
53,907,1.18,5382,34,39,33,4535,8784,1148,5499,177,347,185,515,7099,14989
54,934,1.53,5282,37,49,32,6235,11417,623,1187,433,1365,280,708,6499,11418
55,3243,0.94,240,50,65,69,11275,34452,1465,6839,511,866,209,2093,13108,26440
56,3669,0.94,1300,50,66,70,13740,47945,2998,9514,697,6303,257,602,7919,15094
57,1342,1.07,5250,42,44,41,6320,14994,401,974,1063,3052,388,872,10828,16584
58,344,0.34,1241,44,13,38,4450,8158,2538,7430,169,478,230,455,12282,14598
59,2362,1.02,4538,43,61,60,14434,64577,471,2177,5024,18569,448,1181,9896,26311
60,4287,0.94,2383,60,82,87,14033,30115,8314,49126,591,983,439,877,11017,19898
61,2968,1.29,3295,48,75,58,13710,50919,4720,27553,532,895,432,866,12055,22011
62,1491,1.23,3730,40,49,40,20297,35512,5169,12949,478,830,397,864,8611,13276
63,1183,0.67,1227,51,33,49,4944,10025,3714,13130,399,748,271,608,10414,15420
64,2296,1.03,3208,54,61,59,22308,55816,14527,39773,473,846,426,772,12614,20927
65,940,1.09,4857,39,35,32,9978,18346,889,2089,433,747,208,593,8448,18630
66,1822,0.65,1645,52,37,57,10393,21449,2947,10570,494,808,338,612,11399,21303
67,702,1.35,1808,42,31,23,10207,27288,591,2851,182,1494,115,441,7592,14776
68,1909,1.62,2632,42,73,45,15817,29240,7788,26671,671,4509,473,887,8677,15115
69,2407,0.89,2753,53,56,63,13098,34800,23394,65247,559,923,451,864,10606,19220
70,1138,1.02,344,55,43,42,7811,14978,1415,7702,388,775,230,507,16869,25807
71,5030,1.58,2201,59,104,66,13652,52846,5502,48261,439,1393,436,14256,13128,25531
72,2069,0.82,2550,50,53,65,17431,39368,3097,16390,234,776,229,654,6246,13154
73,1908,0.61,4408,55,41,67,11699,28630,292,5122,410,11731,174,820,9581,23788
74,3686,1.07,780,57,73,68,12879,23343,7240,27863,488,1884,280,566,8147,12989
75,1049,1.08,1553,49,42,39,13096,21348,3601,8767,444,1046,318,634,7099,11239
76,1802,1.08,4046,58,56,52,15168,46510,390,751,1535,4393,333,931,8504,16899
77,5206,1.02,998,78,92,90,12191,36548,3050,15409,318,772,284,696,11239,22746
78,2275,0.92,1058,54,55,60,15625,30691,6492,32347,433,978,283,607,9288,16378
79,458,0.94,325,60,31,33,5547,8912,979,2552,361,572,162,442,22100,28631
80,3309,1.21,483,71,74,61,7169,21624,1325,9147,493,827,228,565,12635,21741
81,2616,1.01,1812,66,68,67,14382,32403,2461,20146,220,768,267,784,12692,23496
82,1264,1.07,3768,58,48,45,19448,54043,4207,18982,480,926,440,903,12214,19671
83,1549,0.96,648,62,46,48,13765,34313,4804,12276,468,966,247,517,7387,11802
84,657,1.14,825,60,33,29,11475,15728,4861,10513,412,667,279,557,10302,13967
85,5006,1.17,2327,69,89,76,14420,31723,13849,48933,599,1116,430,1095,9778,15543
86,6459,0.92,1142,91,95,103,10650,59895,9352,46872,473,992,309,862,9989,17418
87,1029,1.03,1678,59,40,39,15662,36753,2594,7495,764,3050,350,693,8657,13932
88,2217,1.15,2639,72,68,59,12400,27275,6206,20406,440,4167,481,1665,9991,15064
89,2102,2.00,2872,67,86,43,13240,61709,3193,14675,474,894,395,1155,15508,25658
90,992,1.19,4102,58,43,36,30052,64492,579,1331,3506,15555,230,551,9212,18857
91,367,1.00,5279,57,23,23,5414,8831,537,1244,347,585,247,603,6922,10749
92,3037,0.89,1878,77,62,70,13607,28739,4361,23505,384,773,404,839,14930,23823
93,1309,0.76,3678,63,37,49,33835,64036,9955,24429,577,969,372,699,13002,22837
94,521,1.56,3742,60,39,25,23471,64452,3991,12681,373,683,433,731,15790,20605
95,1291,0.93,4083,66,41,44,29296,64567,556,966,2464,5402,295,664,12134,22528
96,2142,0.67,4681,78,46,69,19722,42093,623,1687,482,901,253,605,11700,25112
97,1373,0.46,5450,68,29,63,4802,13789,312,1132,1463,5454,1305,4670,10306,25796
98,3931,0.61,3695,100,60,99,20086,64484,3299,15634,462,1172,424,837,23875,37482
99,853,1.06,900,64,35,33,14648,42846,8010,15075,401,710,301,631,9495,13758
100,5233,0.92,1269,100,81,88,6740,15573,2109,14643,222,739,220,592,12722,20245
