CellId,Area,AspectRatio,CenterX,CenterY,Width,Height,Mean-CD298,Max-CD298,Mean-PanCK,Max-PanCK,Mean-CD45,Max-CD45,Mean-CD3,Max-CD3,Mean-DAPI,Max-DAPI
1,1395,1.75,597,26,70,40,1798,4498,139,2984,387,10050,108,927,19390,32778
2,761,1.96,946,18,53,27,3760,9998,223,677,808,3140,227,944,11355,20429
3,1600,1.85,2573,21,63,34,9054,30864,371,1492,2444,10317,157,991,36293,65504
4,1620,0.89,2657,25,39,44,6981,18533,262,806,2965,8489,108,1051,32478,49287
5,989,1.00,2688,21,33,33,5328,17514,208,5688,1819,14643,125,1522,27228,43172
6,2843,0.90,2729,38,62,69,10531,57665,319,1153,3137,11683,122,1245,35529,65504
7,1360,1.54,3658,24,60,39,4489,11223,236,720,696,1613,235,1179,20039,36114
8,1309,1.18,2620,28,46,39,7245,15990,232,542,2666,6292,83,885,22684,40317
9,755,1.09,5223,25,50,46,4860,12658,210,636,2094,6315,230,1135,7284,9610
10,2417,1.35,5121,35,73,54,8681,32790,212,587,1981,6731,100,854,13727,29907
11,1629,1.35,1299,32,54,40,6138,18825,487,5807,516,13091,233,1181,13718,31287
12,2501,0.79,2530,41,52,66,6938,14465,264,4812,2196,13578,76,945,29320,53890
13,1196,1.29,5029,41,49,38,3897,10154,172,457,468,2561,68,327,16348,31087
14,1788,1.16,2898,42,51,44,7849,23148,309,680,1229,4842,242,792,13697,27212
15,3328,1.28,2586,57,77,60,12946,52099,404,928,3155,8793,103,487,39377,65535
16,1365,1.07,2499,55,47,44,9027,18466,384,1658,2907,6411,59,358,41684,65495
17,2266,1.02,2387,57,54,53,10579,40299,315,6864,1838,12777,295,872,27680,57701
18,2303,0.67,2762,60,45,67,14069,63509,384,788,3619,13552,76,472,39524,65504
19,2762,0.82,2796,66,53,65,13614,50990,308,885,3250,8899,63,669,29102,63751
20,1667,0.81,3529,67,39,48,9255,39845,227,606,1506,7115,22,326,26026,56258
21,1065,1.13,2315,59,45,40,7482,19562,276,716,1517,3243,79,394,16890,28052
22,1398,0.80,880,69,36,45,1658,3893,197,4692,459,3764,122,1074,11438,23265
23,1668,0.74,2627,72,43,58,9727,33346,304,877,2159,6342,109,416,38678,63529
24,1864,1.17,2349,70,54,46,11404,37217,313,785,2499,7707,108,448,31605,54699
25,2328,0.80,2437,73,49,61,7446,39430,255,7277,1886,15004,71,1013,18155,36084
26,2450,0.77,4566,72,50,65,4524,8483,283,681,568,2034,219,884,15773,36934
27,1221,0.75,2474,76,36,48,9593,21945,316,667,2432,5354,72,356,37883,52960
28,688,0.97,4898,69,28,29,7250,28144,185,547,2202,5716,157,431,15536,24814
29,543,0.89,5090,76,25,28,2293,4246,128,357,871,2324,25,175,11415,16965
30,773,1.10,1068,75,32,29,6510,30371,95,342,1060,2602,699,1599,21289,36496
31,1535,1.10,3175,84,56,51,5833,8527,420,1325,388,754,187,639,14514,27281
32,1632,0.96,3781,82,45,47,7125,16553,421,855,426,730,182,654,17154,34372
33,1976,0.84,2656,83,48,57,14908,30793,341,883,3521,7309,90,523,31429,60594
34,2858,1.37,2098,93,71,52,5224,12118,171,490,1674,4779,34,469,25640,48549
35,2300,1.12,2701,89,57,51,11779,30327,295,870,2202,7439,69,491,25821,55413
36,1914,0.87,2896,86,47,54,10578,33260,307,751,1813,6140,173,1073,17720,38738
37,2008,0.64,4696,94,42,66,6944,17785,286,702,1438,5208,110,585,23015,49456
38,3421,1.48,2515,97,89,60,9171,23439,312,956,2588,6153,81,421,34620,58760
39,1973,0.47,4779,103,40,85,4597,12370,242,638,347,1792,130,547,17286,37085
40,1659,0.70,4461,96,39,56,6501,21528,202,480,1076,4856,236,840,20152,43609
41,2022,0.89,2011,107,47,53,4152,20765,155,466,1661,4022,22,295,22013,45127
42,1944,1.02,2372,105,53,52,10569,33664,319,688,2367,6612,111,577,30381,50641
43,1282,0.77,2412,108,36,47,9430,28985,276,1517,2105,13227,124,968,24816,41020
44,525,0.63,2922,105,20,32,4274,10414,228,503,744,1926,103,345,9904,14068
45,2126,1.92,2606,111,75,39,11956,35017,299,827,2989,7894,76,558,21904,52202
46,1528,0.98,5333,113,41,42,5550,28616,192,410,590,1309,179,605,19888,36314
47,2026,0.97,2479,122,61,63,9917,24241,302,755,2763,7705,103,503,34891,65504
48,1603,0.58,2135,117,36,62,6965,15669,216,728,2590,5634,6,350,22117,36629
49,1656,0.60,5036,121,40,67,5650,19845,272,536,956,2922,122,387,15994,29247
50,1732,1.45,2301,110,71,49,9032,28721,382,1389,1003,5526,140,705,11272,19046
51,1046,0.78,4518,114,32,41,5020,16227,232,581,981,2063,212,678,18009,35188
52,2078,0.72,2055,129,49,68,12045,25492,343,704,2978,6450,89,499,40020,65504
53,2394,0.91,2167,125,52,57,9974,24393,289,616,3487,8596,29,418,35257,62500
54,1653,0.98,4644,124,44,45,3246,8205,179,391,1513,5368,204,828,19702,34811
55,1828,0.91,2447,127,48,53,7458,14352,273,758,2170,6675,76,388,34521,62692
56,2559,0.88,2549,142,57,65,14735,36967,436,824,3263,8952,220,1029,45504,65504
57,2022,0.75,4725,138,45,60,3912,8907,291,830,441,1113,140,470,16131,29027
58,412,1.19,40,125,25,21,2077,3105,57,198,1992,3978,10,102,12430,16449
59,3165,1.25,2714,137,70,56,12885,35940,358,994,3219,10282,68,620,41200,65534
60,1360,1.45,4838,121,48,33,14766,33360,802,1923,482,942,238,629,18543,37656
61,2026,0.84,2673,136,46,55,14414,25246,397,907,3724,7554,286,1090,37678,65504
62,367,1.21,3514,128,23,19,2152,3352,196,461,299,510,65,361,11931,17655
63,1788,0.84,2086,147,46,55,13504,27337,433,947,3371,6943,174,642,50165,65504
64,1731,0.90,2401,141,43,48,8536,20689,255,7655,1517,15595,146,824,27366,55270
65,2794,1.30,2598,149,70,54,13401,35205,391,879,3939,9272,203,804,47005,65504
66,802,0.88,2193,138,30,34,8882,29066,229,513,2224,6866,100,400,20695,42767
67,793,1.20,4480,141,36,30,2661,5405,149,368,278,528,72,296,14611,26078
68,2065,0.59,2109,163,47,80,14266,30951,414,706,3847,6621,91,434,44177,65504
69,1061,0.79,2520,150,33,42,14387,29739,432,852,2083,4653,422,1019,36074,55956
70,2405,0.90,2772,158,53,59,6505,22951,300,1586,1825,6856,27,497,24287,47051
71,1289,1.05,2810,153,40,38,10405,22507,272,706,2555,8464,28,335,29284,65504
72,2395,1.14,2869,162,57,50,7043,28817,245,872,1222,3827,195,727,20825,45409
73,1938,0.84,2038,168,49,58,12594,44326,313,732,3145,11715,190,662,29848,46993
74,2356,0.89,1987,167,51,57,4539,25692,172,608,1956,7466,52,387,20197,43186
75,1958,1.25,2161,170,60,48,17561,64063,418,1205,3793,11457,86,527,41339,65504
76,1648,0.89,4852,160,42,47,9946,22268,557,923,493,899,236,676,12981,21322
77,1124,0.62,2456,171,31,50,13487,35017,347,802,3184,8188,148,482,31822,46673
78,1657,0.62,2474,177,39,63,17265,31308,415,786,4005,7745,120,666,31735,58710
79,4667,1.13,2618,186,90,80,16817,43514,517,1057,4083,13526,212,835,46775,65517
80,1479,1.44,5100,168,49,34,4380,8559,250,552,1726,3785,257,712,14133,30579
81,3046,1.17,2718,183,75,64,15491,57130,2323,15242,3860,9366,178,1197,43440,65504
82,576,0.93,4131,179,27,29,2014,3236,191,410,449,716,95,417,10459,14338
83,1320,0.67,2269,178,33,49,6326,22183,309,586,1643,9876,3833,7387,14217,23932
84,797,0.65,2502,174,28,43,16049,33398,410,782,3827,8265,173,712,28545,43994
85,1847,1.49,945,183,64,43,7398,13429,360,903,374,891,48,429,17000,33509
86,2560,0.91,2070,197,64,70,20108,44606,494,929,5105,13486,115,522,43382,65535
87,1688,0.84,2304,181,43,51,9202,19749,325,663,3536,10530,1680,5262,24208,46806
88,1907,0.85,2406,189,47,55,9697,26928,315,765,2181,10291,150,855,31243,62048
89,863,1.00,2564,185,34,34,16637,28639,487,890,4182,9009,417,964,55154,65535
90,1427,0.86,2670,185,44,51,24034,52860,770,1312,3223,7498,487,1234,49805,65504
91,1255,0.81,687,196,39,48,5625,12176,283,616,462,803,199,745,10000,16702
92,1111,0.88,2133,189,37,42,16129,64061,354,788,3465,9027,79,450,30383,62348
93,815,1.17,2530,185,35,30,17461,40177,447,728,2686,5578,432,1035,36717,51118
94,1597,0.63,5061,197,36,57,11881,34402,358,870,1199,4811,304,1271,22699,52648
95,573,0.93,5085,188,28,30,4287,9232,277,531,1447,3731,316,944,18335,32161
96,2090,0.66,2186,209,42,64,16921,43467,422,783,3023,9194,101,571,34905,65503
97,1303,1.32,4752,200,49,37,3858,7082,274,542,448,697,97,620,12914,19425
98,770,2.10,1036,195,42,20,6796,12426,333,794,554,2018,80,620,13564,29324
99,2909,1.28,2437,213,83,65,14774,43078,340,942,3061,8532,171,896,31541,58943
100,890,1.57,1014,198,36,23,7756,23188,356,867,656,1675,80,495,17063,35363
101,1748,1.00,1869,206,50,50,6842,25762,236,609,1923,6884,88,605,19119,34050
102,2540,1.07,2866,208,62,58,10999,41612,302,907,2453,7514,72,706,33804,65502
103,628,0.42,1999,209,20,48,9628,18609,351,626,3523,6814,96,316,38272,65504
104,676,0.82,2157,206,28,34,13609,29897,351,857,2483,4589,51,258,27952,43418
105,1134,1.75,2555,207,49,28,16147,38767,460,1007,3972,13491,371,862,56462,65513
106,2691,0.91,2026,219,61,67,16026,49177,414,989,4295,16834,98,406,41486,65504
107,1366,1.05,1979,218,44,42,7038,17730,285,572,2214,5263,81,351,40523,65504
108,1796,0.84,2513,218,48,57,15162,40176,304,929,3877,13416,79,893,20977,45048
109,2394,0.95,868,213,53,56,13837,29835,352,858,1521,4752,103,512,14221,34737
110,1224,1.33,2816,208,44,33,6269,18814,230,633,2722,6114,140,573,14716,43459
111,1809,0.96,2903,224,52,54,9214,27200,280,774,2160,6430,84,547,26188,57288
112,1865,1.46,64,223,67,46,5142,10816,212,449,360,907,134,1705,15197,28683
113,2511,1.31,2686,226,71,54,22279,55810,621,1414,2141,6760,663,1578,43280,65504
114,686,1.09,2715,215,36,33,14028,36336,451,1316,2342,7317,261,1170,26535,50118
115,1109,1.33,3481,219,44,33,5423,14416,213,602,3215,9299,244,915,26176,43513
116,1449,1.11,2135,224,51,46,22169,63881,434,1874,4462,11488,65,456,33960,53889
117,1075,1.90,4760,219,55,29,6862,19014,329,712,435,882,145,588,10919,15266
118,1875,0.95,1837,230,55,58,8336,18422,322,623,1960,5427,208,704,27273,56493
119,1712,1.00,2979,228,46,46,13862,60871,302,8004,2244,13666,46,536,28029,64526
120,1739,1.24,4598,223,57,46,6842,25952,224,506,1536,3857,53,514,19246,42646
121,443,0.90,670,225,18,20,6030,12473,267,518,507,1130,179,417,8655,16235
122,8654,1.20,2561,261,121,101,16118,56602,400,1154,3471,11121,257,1214,43736,65535
123,1936,1.16,2823,243,59,51,8834,19713,366,5782,2238,11363,323,1104,33312,62791
124,548,1.42,1602,232,37,26,2104,4421,165,569,1088,8521,52,448,10407,11984
125,1653,0.87,1809,241,47,54,5141,12019,171,2287,1523,13444,64,331,26215,55549
126,1498,1.14,4175,236,49,43,5516,13875,328,778,777,3758,229,881,19073,33432
127,1015,0.76,1893,235,34,45,6094,11834,319,611,1081,2161,272,784,18602,29025
128,1391,1.06,2098,238,50,47,24046,63987,469,1222,5426,11293,124,592,36604,64055
129,1118,1.06,1917,236,37,35,6389,11475,264,696,1676,3831,120,543,23142,47656
130,1007,1.23,2632,237,37,30,29706,55283,654,1216,6346,14845,245,966,42021,59488
