CellId,Area,AspectRatio,CenterX,CenterY,Width,Height,Mean-CD298,Max-CD298,Mean-PanCK,Max-PanCK,Mean-CD45,Max-CD45,Mean-CD3,Max-CD3,Mean-DAPI,Max-DAPI
1,1469,1.24,128,14,47,38,18531,46373,3230,8250,604,1140,294,1109,12458,30025
2,925,1.12,168,19,38,34,15974,30101,2206,7562,578,1062,333,1035,14207,27697
3,1142,1.16,210,17,43,37,13837,29352,1899,6346,552,1059,359,1034,17428,29909
4,3060,1.04,272,30,73,70,11773,35755,2111,9032,489,1102,300,1184,21829,32778
5,1183,0.93,390,21,41,44,11268,27642,9490,26164,638,1159,371,1024,14590,20960
6,636,1.15,406,15,30,26,8544,18955,3712,8223,721,1260,400,1073,17961,23562
7,987,1.24,435,15,41,33,14554,27385,4506,12249,506,1249,376,1105,20212,28261
8,716,0.97,569,18,30,31,14203,42952,4688,19815,623,1361,432,1331,25531,31520
9,547,0.63,590,21,20,32,18577,31369,4271,10457,557,1177,412,1195,27095,32760
10,1584,0.76,608,21,38,50,24345,47471,6832,23362,700,2197,388,1149,18592,30330
11,2554,1.18,657,17,58,49,23704,51321,13416,34336,630,2222,371,1251,14799,24570
12,1642,1.65,758,19,56,34,12834,33841,7081,30427,495,1308,372,1284,13321,21576
13,2933,1.03,873,26,60,58,16822,64590,2400,7779,361,13262,133,1398,17075,28598
14,1379,1.64,1666,14,54,33,31179,48841,538,1166,1022,3805,492,1524,11284,22090
15,2703,2.83,2052,16,99,35,26917,64260,504,1114,1586,6006,1098,4453,16301,25414
16,1594,1.07,2310,17,46,43,18436,40801,513,908,1404,3951,1875,5409,24270,46557
17,889,0.97,2333,16,30,31,15617,36802,403,1048,1162,2453,1358,4638,23723,45213
18,895,1.38,2932,14,36,26,19059,64155,2607,8055,637,1382,549,1323,16469,26241
19,1247,0.57,2959,23,32,56,17511,46872,8105,27077,471,1031,484,1411,14395,26693
20,2698,0.76,3441,28,53,70,18740,54449,2480,9870,543,1358,460,1471,23032,36405
21,1547,1.04,3836,25,51,49,13161,27329,5632,17205,566,1195,569,1460,21695,29841
22,1496,1.56,3932,18,53,34,11817,36893,4193,26395,630,2806,597,1436,17023,26474
23,1135,0.62,4154,16,29,47,30689,58339,789,1444,1587,4120,1174,6493,16805,27893
24,1893,0.87,4176,21,47,54,32782,64525,859,1532,1456,4847,2067,7397,18854,39805
25,1660,1.30,4227,16,56,43,29564,64536,688,1330,887,2859,1490,4388,16120,26173
26,1503,1.49,4603,19,52,35,26567,59761,515,1053,406,1812,1202,4749,15578,29452
27,384,1.33,4914,13,24,18,11644,30139,450,682,563,1355,316,730,8537,13111
28,1331,1.63,5101,13,57,35,23304,43589,656,1053,396,1252,419,1264,10940,18861
29,1176,1.50,5260,21,54,36,24502,48664,3244,13868,418,1153,450,1206,18561,30742
30,2801,1.40,2861,29,77,55,11601,53963,4080,23874,763,8209,467,1587,11950,21252
31,1522,1.31,4119,17,47,36,28624,50169,1094,13788,3056,8630,688,2062,12319,19418
32,1273,1.60,4294,22,56,35,27350,64536,651,6953,840,13136,1575,6442,16333,27205
33,2202,1.02,535,29,56,55,19809,44226,3754,24847,617,1295,352,1371,20621,33742
34,5068,0.64,3397,47,67,105,33989,64587,3503,17236,535,1500,415,1569,15710,27040
35,1563,0.96,3801,23,46,48,31147,61877,11874,38537,634,2479,645,2288,16465,32973
36,5233,0.75,3493,45,76,102,20671,64385,3204,13777,587,2399,446,1509,17095,28246
37,589,0.69,226,26,29,42,13674,45701,1396,3139,522,1017,279,865,21277,28846
38,1515,0.96,472,27,43,45,14054,28315,5603,20625,634,1805,363,1248,11124,19525
39,1730,1.40,1251,27,66,47,29339,62324,527,1182,2619,7205,3056,7111,13982,32852
40,628,0.78,154,25,29,37,14151,24806,2342,5027,573,895,220,801,16075,27862
41,4236,0.81,930,44,73,90,16866,56810,1540,10828,568,4914,262,1384,15811,30154
42,2655,1.28,1361,29,68,53,18006,50345,429,5750,1524,12489,4704,11324,14484,39125
43,1927,0.96,3072,28,50,52,35886,65535,7579,31319,362,1654,220,1480,12636,21958
44,2398,0.72,346,35,52,72,18375,51355,3773,22106,487,1136,322,1209,14301,22597
45,1504,1.69,1904,31,66,39,19356,44963,401,851,1213,9554,550,1214,11616,21307
46,1770,1.00,2132,34,54,54,34099,64290,468,1063,572,2510,1133,5397,15965,38605
47,2245,0.97,2256,33,60,62,28586,55678,611,1187,1581,5384,596,1794,14572,29958
48,1948,0.98,3855,38,58,59,19853,64568,6966,51376,517,1109,512,1532,17184,27462
49,7739,0.74,3966,59,93,126,17340,51506,3620,20252,589,1370,544,1646,26163,48423
50,1645,0.69,314,39,37,54,15315,30458,2718,8067,525,826,307,668,14660,22101
51,1147,1.29,1751,33,49,38,12180,32305,299,592,1575,5140,656,3134,15275,27326
52,1951,1.12,1823,37,55,49,11977,21185,255,557,636,1990,2253,6238,19772,40129
53,570,0.86,2940,31,30,35,13581,35825,2392,6969,526,825,445,770,16646,24257
54,2334,1.17,4813,33,61,52,12095,39776,451,892,653,3224,1252,5061,13403,27362
55,1070,0.51,499,40,27,53,16626,35980,3557,13449,561,953,300,518,14110,24052
56,1017,1.10,2409,28,34,31,29325,59761,722,1931,4243,11719,523,950,12659,23979
57,1674,0.90,3095,32,47,52,36881,64406,7425,17235,325,849,60,492,13378,21140
58,527,1.08,3578,27,28,26,18320,33734,3473,13850,626,893,414,856,12213,16764
59,1072,0.76,3599,30,31,41,28030,55718,8141,57348,610,879,446,690,12678,19065
60,1144,0.89,4316,37,42,47,23816,45127,552,1551,1520,6510,2136,7090,10124,23823
61,3039,0.51,2110,57,48,94,27857,64476,526,1186,1911,4650,1843,5401,25993,49386
62,1768,0.81,3291,43,44,54,47054,64575,6398,17951,561,1039,537,1053,20042,47797
63,2154,0.79,4019,41,48,61,27928,53715,14594,48645,676,1079,664,1170,20358,39609
64,1655,0.69,5460,35,36,52,20776,46517,3969,10738,453,708,422,653,12966,19147
65,2350,0.87,246,57,58,67,10842,42688,1659,6159,538,816,263,811,23965,32619
66,878,0.80,417,39,32,40,13619,24669,6575,15961,808,1939,306,594,20171,26068
67,1827,1.22,752,43,62,51,14180,40122,6256,35020,605,10869,303,670,13240,22000
68,1024,0.95,1166,38,38,40,19815,42090,563,1053,830,1830,439,1005,14216,21824
69,3947,0.95,3546,55,77,81,15183,64403,2154,11264,653,1433,379,834,18486,27085
70,2711,0.95,5314,53,58,61,22698,64830,4717,16248,363,702,440,847,15427,30267
71,1256,1.09,1080,39,47,43,29160,64688,2047,11561,1299,3324,666,1314,10778,18352
72,1361,1.19,2000,38,50,42,22891,46055,524,953,3934,15334,833,3274,19106,36419
73,3436,0.76,2909,56,61,80,19871,64555,4508,18810,597,1131,429,875,16485,28688
74,2277,0.74,3893,54,51,69,18547,64366,6071,29263,491,1060,499,970,15133,21279
75,1762,1.68,4618,42,69,41,29438,56214,569,961,320,1067,512,7657,14482,29189
76,818,0.73,4790,38,29,40,12001,23678,545,835,1353,3189,3770,8640,17101,27985
